no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,loan_status,Assets_Sum
2,1,0,2600000,7800000,4,819,1,14600000
4,1,1,9600000,21100000,6,809,1,69000000
1,0,1,6800000,17000000,2,744,1,46600000
0,0,0,3200000,11300000,6,484,0,19600000
4,0,0,2900000,10400000,6,673,1,19100000
3,1,1,7900000,21200000,18,695,1,51100000
4,0,1,3900000,12400000,12,473,0,28000000
4,1,1,4600000,11000000,2,491,0,32600000
3,0,1,700000,1700000,8,733,1,4900000
0,0,0,5200000,15600000,20,434,0,43500000
3,0,1,5900000,20600000,10,777,1,34100000
4,1,0,7200000,19100000,4,774,1,37900000
1,0,1,8700000,27000000,10,717,1,60700000
3,0,1,1100000,3500000,12,503,0,6800000
1,1,1,4000000,10900000,14,598,1,28200000
2,1,0,9800000,32400000,2,543,1,75100000
0,0,1,2700000,6800000,20,796,1,13800000
3,0,1,8800000,34600000,8,386,0,55700000
5,0,1,3300000,7800000,16,632,1,21000000
1,1,1,6900000,23400000,4,481,1,53400000
3,1,1,900000,3500000,4,770,0,3300000
3,1,1,4100000,15500000,6,667,1,23100000
3,0,1,4700000,17500000,8,585,1,18800000
5,1,1,3400000,11600000,16,479,0,28500000
2,1,0,9600000,22500000,18,851,1,60600000
3,0,1,7000000,16200000,6,378,0,58400000
5,1,0,5700000,12900000,18,807,1,29100000
1,0,1,8200000,32400000,18,831,1,60600000
2,0,0,2100000,5100000,12,674,1,14200000
1,0,1,8000000,28100000,18,725,1,45200000
2,0,0,8000000,29300000,4,600,1,65600000
0,0,1,9400000,27000000,10,536,0,44700000
0,1,0,8400000,20600000,10,477,0,39900000
1,0,1,1900000,5000000,6,560,1,10600000
0,0,1,4200000,16400000,20,539,0,26100000
5,1,0,2600000,9100000,8,852,1,18000000
3,0,0,3700000,8500000,20,853,1,26400000
0,1,0,8800000,30900000,12,729,1,39500000
2,0,0,2100000,4700000,2,546,0,16400000
3,1,1,900000,2400000,10,489,0,4100000
3,1,1,9800000,35400000,6,869,1,63900000
2,0,0,8000000,20000000,2,502,0,47800000
0,1,0,9800000,38800000,8,652,1,77300000
0,0,1,300000,1100000,8,789,1,1700000
4,0,0,2700000,8100000,4,325,1,19100000
3,1,1,7400000,19600000,2,716,1,46300000
3,1,0,9200000,34300000,18,523,0,67500000
5,0,0,9500000,22200000,20,352,0,62300000
5,1,1,3800000,14400000,2,345,1,21800000
0,1,0,8300000,19400000,18,649,1,54200000
2,1,1,2800000,7400000,18,666,1,12100000
0,1,0,8600000,20900000,10,813,1,54000000
0,0,0,5400000,16800000,10,599,1,34800000
5,1,1,4200000,9400000,6,678,1,25800000
5,0,0,5200000,12200000,20,513,0,37600000
5,1,0,9400000,27900000,4,870,1,41200000
3,1,0,8800000,20400000,8,483,0,54600000
1,1,1,5900000,16700000,16,308,0,39000000
3,1,1,1700000,4900000,16,591,1,11400000
1,0,0,7000000,23000000,10,886,1,48000000
4,0,0,1700000,4000000,6,829,1,8500000
0,0,0,1500000,4900000,12,651,1,9800000
4,0,0,2000000,4700000,18,733,1,17200000
5,1,1,3900000,15500000,12,433,0,27400000
1,1,1,900000,3600000,14,713,1,5300000
1,1,0,6900000,22500000,18,403,0,32400000
0,1,1,2800000,7800000,10,405,0,20800000
3,1,1,6800000,19900000,10,516,0,56500000
4,0,1,600000,1800000,8,417,0,5000000
1,0,0,4700000,14000000,6,468,0,28300000
5,1,1,3000000,11800000,10,672,1,26200000
5,0,0,4000000,13900000,6,530,0,30100000
1,0,1,3100000,11300000,14,824,1,25100000
1,0,1,7700000,25500000,12,549,0,56200000
5,0,1,4300000,9300000,10,450,0,22900000
1,1,1,5800000,19500000,20,431,0,37700000
3,1,1,3600000,10700000,16,312,0,22200000
0,0,1,2900000,7600000,8,320,0,26300000
0,1,0,8800000,20200000,4,433,0,63100000
1,0,1,300000,1000000,10,431,0,1900000
5,0,1,8600000,28900000,8,516,0,48700000
2,0,1,3500000,12000000,14,476,0,23200000
5,1,0,800000,2600000,6,560,1,4300000
2,1,0,8000000,27100000,12,674,1,46500000
0,0,1,9900000,38200000,6,573,1,53200000
2,0,0,3300000,6600000,6,331,0,19900000
4,1,1,2000000,6700000,12,633,1,7700000
3,0,0,4900000,12900000,18,877,1,30000000
5,0,1,9200000,23600000,12,656,1,53900000
0,0,0,7500000,18200000,6,782,1,43300000
5,0,0,9000000,29300000,4,531,1,61200000
3,0,0,1400000,4100000,8,455,0,9400000
3,1,0,9600000,19900000,14,452,0,55500000
2,1,0,8400000,33200000,14,474,0,71500000
3,0,0,6400000,24400000,4,483,1,33800000
4,1,0,5900000,16800000,8,481,0,41100000
2,1,1,2200000,5100000,20,859,1,14500000
4,1,1,5600000,14100000,14,696,1,41500000
4,0,0,9800000,28700000,6,778,1,64800000
4,1,0,4400000,14600000,4,499,1,29600000
2,0,1,2400000,4900000,4,888,1,19200000
1,1,0,4400000,10800000,12,674,1,34800000
4,1,0,3700000,13200000,4,802,1,29000000
4,0,1,2300000,7800000,8,540,0,12400000
4,1,1,5900000,19600000,8,726,1,52300000
4,0,1,6400000,23500000,2,485,1,37500000
4,1,1,4900000,17100000,6,612,1,32800000
3,0,1,9500000,24200000,8,879,1,59400000
2,0,0,5700000,16400000,12,708,1,23900000
2,0,1,2700000,5700000,8,850,1,22900000
2,0,1,3900000,11300000,12,516,0,18100000
0,0,0,7800000,28800000,12,465,0,48400000
0,1,0,1100000,3200000,20,716,1,8300000
4,0,0,200000,600000,10,404,0,500000
0,0,1,4700000,10600000,20,512,0,31700000
3,0,1,8200000,20600000,10,441,0,62700000
2,0,1,4600000,18400000,2,555,1,28500000
5,0,0,1800000,7000000,18,466,0,12600000
3,1,1,3200000,8600000,2,427,0,17500000
4,0,1,5500000,20000000,14,593,1,42600000
3,1,0,7900000,18300000,10,731,1,38200000
1,1,1,4000000,10100000,16,451,0,29100000
3,0,1,6800000,16900000,18,628,1,25000000
1,0,0,2700000,9400000,18,704,1,16400000
2,0,0,6800000,23500000,12,341,0,53900000
5,1,0,8600000,21000000,8,465,0,56000000
4,1,0,8000000,30100000,4,431,1,56000000
1,1,1,3700000,12600000,10,424,0,25100000
0,1,0,2600000,5100000,14,678,1,10800000
4,1,0,4200000,16800000,6,381,0,34100000
5,1,1,8000000,28000000,10,449,0,41300000
1,0,0,7100000,23500000,12,768,1,48200000
0,0,0,2000000,7000000,6,666,0,6900000
4,0,1,5800000,13300000,14,742,1,48700000
3,0,1,6700000,15800000,4,445,0,41300000
2,1,0,7300000,28700000,14,634,1,41700000
4,0,0,3300000,9700000,14,782,1,15100000
0,1,0,3000000,7000000,10,781,1,22200000
4,0,0,7900000,17200000,14,318,0,55900000
5,0,0,7600000,24100000,18,721,1,63500000
5,0,0,3700000,9800000,4,563,1,28800000
2,0,0,8400000,26300000,4,419,1,66200000
0,1,1,8200000,20800000,14,372,0,35200000
0,0,0,2900000,9500000,18,885,1,16600000
1,0,1,9900000,38400000,12,596,1,62600000
0,1,0,4400000,14100000,2,349,1,19600000
1,0,1,9000000,32200000,16,468,0,60400000
3,0,1,6800000,26900000,16,818,1,58700000
2,0,0,8700000,28000000,12,543,0,52500000
3,1,0,9400000,21900000,16,685,1,53200000
3,0,1,6000000,12500000,18,851,1,41400000
1,0,1,9400000,29800000,10,377,0,85200000
0,0,1,1000000,4000000,10,620,1,8500000
3,1,1,900000,2300000,20,611,1,4500000
4,0,0,2100000,7700000,4,767,1,11100000
5,1,1,1100000,3200000,20,592,1,7900000
0,1,1,600000,2300000,4,319,1,5400000
4,0,1,9200000,25500000,10,900,1,60100000
2,0,1,3600000,12800000,18,814,1,27100000
5,0,1,1300000,5000000,10,755,1,11000000
5,1,1,7700000,16800000,20,584,1,44800000
4,1,1,9500000,23500000,14,380,0,62000000
2,0,1,5000000,17600000,20,465,0,33100000
0,0,0,500000,1800000,2,531,1,4400000
1,1,1,8300000,32100000,16,814,1,57600000
0,1,0,5300000,17900000,6,678,1,26600000
2,0,1,9300000,29000000,12,655,1,49500000
3,0,0,2300000,7400000,2,682,1,18600000
1,0,0,400000,1300000,6,695,1,1600000
3,0,0,3200000,10800000,4,833,1,14900000
5,0,1,9400000,35300000,16,302,0,66500000
1,1,0,2300000,6600000,2,357,0,14300000
5,0,0,4300000,14500000,12,302,0,34400000
0,1,1,6200000,22400000,18,873,1,46300000
0,0,1,7200000,19800000,12,658,1,53100000
5,1,1,2400000,8700000,18,877,1,13900000
3,0,0,2900000,6300000,8,648,1,15800000
1,1,0,1400000,5200000,12,730,1,7300000
4,0,1,2200000,8200000,14,737,1,18200000
2,1,1,800000,3200000,10,584,0,3000000
0,1,0,600000,1700000,2,621,1,3000000
4,1,1,700000,2700000,16,583,1,4000000
2,0,0,8400000,25900000,16,621,1,59700000
2,0,0,7100000,21500000,16,610,1,41400000
4,1,0,5400000,15700000,18,452,0,39400000
5,1,0,3700000,7300000,18,339,0,28600000
3,1,1,5200000,15200000,16,650,1,24600000
4,0,1,200000,700000,10,672,1,1000000
3,1,0,500000,1000000,20,501,0,2700000
2,0,1,1800000,5700000,4,809,1,11800000
5,1,1,9200000,29400000,8,318,0,63100000
4,0,0,900000,3300000,10,649,1,3400000
3,0,0,7500000,28300000,12,367,0,50200000
5,0,0,3000000,11800000,6,847,1,19800000
5,1,0,7100000,18900000,12,360,0,40100000
1,1,1,3500000,7200000,2,865,1,23400000
4,0,0,4900000,18800000,16,880,1,24700000
1,1,0,4100000,8400000,20,608,1,23800000
0,1,1,800000,2100000,6,760,1,2600000
3,1,1,1700000,4600000,12,385,0,9700000
0,1,1,6100000,23300000,12,478,0,28700000
1,1,1,2100000,7700000,16,327,0,12500000
0,1,0,3100000,9300000,6,663,1,14600000
2,0,1,1700000,3500000,20,693,1,10100000
3,1,0,1700000,5400000,6,710,1,13000000
4,0,1,4000000,14500000,6,711,1,23100000
5,1,0,5600000,18400000,8,386,0,34900000
4,1,1,3900000,11900000,10,855,1,27200000
4,1,1,6100000,15300000,14,573,1,32700000
0,1,1,1100000,2800000,18,431,0,6500000
2,1,0,5500000,14800000,8,364,0,34600000
4,1,1,1100000,3600000,14,711,1,7200000
4,0,1,400000,900000,20,771,1,3600000
3,1,0,9200000,36400000,18,669,1,59000000
4,0,1,9300000,27500000,18,338,0,63500000
1,1,0,1100000,3500000,8,562,1,7200000
3,0,0,5600000,18700000,2,769,1,38300000
0,1,1,6300000,21500000,8,629,1,31200000
3,1,0,8800000,18100000,6,699,1,36400000
0,0,0,8400000,20800000,20,590,1,56900000
3,1,1,1600000,5700000,4,707,1,14500000
3,0,1,4500000,11400000,8,391,0,29700000
5,0,0,6500000,18500000,4,891,1,47600000
3,1,1,9500000,20600000,2,731,1,47100000
3,0,0,4700000,16700000,12,775,1,26500000
5,1,1,9600000,32400000,2,897,1,51900000
5,1,0,8000000,26700000,20,794,1,60400000
2,1,0,7700000,16700000,6,555,1,42400000
1,0,1,3600000,10300000,12,536,0,22200000
2,0,0,700000,1700000,10,839,1,3700000
0,1,1,1400000,5100000,6,890,1,13100000
1,1,1,8600000,27900000,20,415,0,62000000
4,1,0,4700000,15700000,4,868,1,24400000
3,1,1,2900000,5800000,12,353,0,24200000
4,0,0,9000000,29000000,16,590,1,61700000
5,1,1,500000,900000,18,618,1,3600000
2,0,1,700000,1700000,10,539,0,5200000
0,1,0,6800000,27000000,4,429,1,55500000
2,1,0,1800000,4700000,8,792,1,12000000
0,0,0,6000000,12400000,2,608,1,29800000
4,1,1,5400000,21500000,14,555,1,27600000
5,1,1,8400000,17500000,12,620,1,60700000
0,1,0,7400000,20900000,6,635,1,57800000
2,1,0,3200000,12500000,10,457,0,20600000
1,1,1,5400000,21400000,8,350,0,30100000
5,1,1,1000000,2500000,14,885,1,5700000
0,1,0,4400000,14700000,16,638,1,23800000
1,1,1,3800000,10500000,12,710,1,23000000
3,0,1,6100000,20900000,18,470,0,34500000
5,0,1,5500000,17300000,16,874,1,25500000
5,0,1,500000,1800000,18,411,0,3000000
0,0,1,300000,1100000,2,482,1,1800000
1,1,1,6200000,16900000,2,396,0,49400000
0,0,0,300000,900000,20,436,0,1200000
0,0,1,6900000,22100000,20,303,0,47100000
4,1,0,3700000,11400000,12,728,1,19600000
3,0,1,8800000,28600000,10,775,1,51800000
5,1,1,8200000,23500000,12,402,0,46700000
1,0,1,9200000,31500000,18,698,1,40100000
0,0,0,2400000,7800000,14,665,1,17200000
4,0,0,4100000,13500000,18,490,0,26800000
1,1,0,8000000,31900000,12,504,0,53400000
3,0,1,3600000,8600000,8,790,1,26300000
1,0,1,700000,2700000,20,669,1,4200000
4,0,0,8300000,30700000,6,381,0,55300000
0,1,1,5300000,15000000,2,900,1,30600000
4,1,0,8300000,24900000,16,506,0,54700000
3,0,1,2500000,8800000,12,538,0,19100000
3,1,1,5400000,14400000,8,677,1,42800000
4,1,0,1600000,4900000,8,685,1,10500000
2,0,0,2400000,6200000,12,860,1,19200000
5,0,0,6300000,14800000,6,608,1,53800000
4,1,1,2500000,5300000,10,540,0,13900000
0,1,1,7500000,16800000,16,492,0,62800000
3,0,0,2900000,8500000,14,834,1,16300000
3,1,1,1000000,3500000,16,834,1,6200000
2,1,1,8600000,28800000,8,890,1,57600000
1,0,0,300000,1100000,12,443,0,2400000
5,0,0,2300000,5700000,18,329,0,16500000
2,0,1,2400000,5400000,12,739,1,10800000
5,1,1,9800000,30300000,6,867,1,74600000
2,0,0,8100000,24800000,6,307,0,45800000
3,1,0,6700000,15500000,18,492,0,39800000
1,0,1,8400000,24700000,18,698,1,81100000
2,1,0,200000,700000,8,851,1,1600000
2,1,0,4700000,12500000,14,375,0,23100000
0,1,1,4300000,14300000,14,601,1,27100000
4,0,0,2200000,7000000,20,756,1,14400000
4,1,1,8600000,19200000,4,868,1,64000000
4,1,1,2000000,7200000,10,838,1,11400000
4,0,1,4200000,15900000,14,375,0,34300000
0,0,1,5100000,12500000,18,778,1,22300000
2,1,1,4100000,11200000,6,442,0,30800000
1,1,1,9900000,39500000,12,808,1,59200000
1,0,1,3200000,9000000,20,372,0,16500000
2,1,0,5500000,19000000,4,597,1,29100000
0,1,1,7800000,29100000,20,435,0,61100000
3,1,1,3400000,9700000,20,728,1,12700000
4,1,1,7900000,25900000,14,373,0,60500000
3,1,1,8900000,18500000,10,367,0,48400000
2,1,0,7300000,19100000,14,552,1,36200000
4,0,1,3300000,10600000,8,465,0,15000000
4,1,1,2900000,10500000,8,607,1,21300000
2,1,1,500000,1300000,4,427,0,4300000
3,0,0,7200000,21200000,4,711,1,45600000
3,0,0,8300000,24100000,14,823,1,38300000
1,0,1,8700000,20500000,6,523,0,54300000
4,0,1,7100000,27900000,10,328,0,56600000
3,1,1,9800000,28200000,12,721,1,53800000
0,1,1,6900000,17000000,20,599,1,58400000
0,0,0,2400000,5000000,14,580,1,19000000
1,0,1,2100000,4900000,10,744,1,8600000
2,1,1,7200000,23900000,4,559,1,45000000
2,1,0,4600000,13500000,16,587,1,29200000
5,1,1,9900000,31800000,18,817,1,68200000
4,0,1,300000,1000000,20,655,1,1600000
5,1,1,6900000,23900000,6,382,0,54400000
2,1,1,1700000,4300000,6,765,1,10800000
2,1,1,4400000,10000000,20,516,0,32300000
4,0,1,4300000,15000000,8,383,0,18700000
2,0,0,3700000,14100000,6,633,1,15700000
1,1,0,5900000,15200000,2,547,0,37400000
5,0,1,8600000,26300000,10,843,1,62500000
3,0,1,3400000,13200000,8,783,1,24700000
3,0,1,1000000,3200000,14,790,1,6700000
1,0,1,4400000,14200000,16,409,0,31100000
0,0,0,3600000,7800000,14,376,0,31600000
3,0,0,1400000,2700000,8,625,1,9300000
0,0,0,5300000,10900000,18,707,1,35800000
3,1,1,9400000,20500000,6,645,1,65100000
4,0,1,6600000,22100000,6,887,1,31600000
5,1,0,9800000,37600000,18,319,0,49300000
1,0,0,1900000,4900000,20,647,1,14700000
2,0,1,5800000,22500000,6,888,1,36400000
2,0,0,3100000,10400000,10,420,0,26300000
0,1,0,6800000,18400000,2,791,1,35000000
5,0,0,4600000,16200000,12,891,1,21600000
2,0,1,200000,700000,16,641,1,1500000
3,0,1,9500000,22800000,6,319,0,62500000
5,0,1,6200000,22200000,20,819,1,50500000
4,0,1,9700000,32300000,18,387,0,51300000
5,1,1,4200000,12300000,2,686,1,30500000
1,1,1,5700000,12000000,4,415,0,41300000
2,1,1,200000,500000,6,885,0,400000
4,1,0,8000000,25500000,4,722,1,62200000
4,1,0,5200000,20400000,20,761,1,26800000
1,1,1,7100000,15200000,8,389,0,37000000
1,1,1,9300000,27900000,12,600,1,41900000
5,1,0,2000000,6100000,2,407,1,10400000
3,1,1,3900000,14000000,18,829,1,23500000
2,0,0,2800000,5900000,6,895,1,17300000
5,1,1,3000000,11100000,12,441,0,20300000
4,0,0,4500000,9800000,16,895,1,37400000
4,1,0,1900000,4300000,4,826,1,10300000
1,1,0,2300000,7200000,8,453,0,16600000
0,1,0,4700000,17500000,2,701,1,26400000
2,0,1,1300000,2700000,8,627,1,4300000
3,1,0,3100000,11000000,2,543,1,19500000
0,1,0,8400000,17500000,18,411,0,60200000
5,1,1,1700000,5800000,4,583,1,12100000
2,0,0,1900000,7500000,2,889,1,11400000
3,0,0,2400000,8600000,8,684,1,13600000
5,1,0,6800000,20500000,10,578,1,42900000
1,1,0,2900000,10900000,20,445,0,21300000
4,1,1,8900000,26300000,10,369,0,70400000
1,0,0,8800000,22200000,18,794,1,51800000
